Price,City,Location,RoomsNr,Surface
65000,Bucuresti,Dristor,1,32
80000,Bucuresti,Pantelimon,2,58
125000,Bucuresti,Chisinau,3,68
349900,Bucuresti,Unirii,4,113
215000,Bucuresti,Cotroceni,2,56
120000,Bucuresti,1 Mai,2,52
108000,Bucuresti,Colentina,2,49
99000,Bucuresti,Damaroaia,2,67
145000,Bucuresti,Aviatiei,2,54
128000,Bucuresti,Colentina,2,52
105000,Bucuresti,Chitila,2,60
91000,Bucuresti,Theodor Pallady,2,47
152000,Bucuresti,Bucurestii Noi,3,74
401000,Bucuresti,Aviatiei,3,111
196500,Bucuresti,Decebal,3,72
74600,Bucuresti,Brancoveanu,2,55
70000,Bucuresti,Grivita,2,79
50000,Bucuresti,Brancoveanu,2,32
62990,Bucuresti,Doamna Ghica,2,37
160000,Bucuresti,P-ta Presei Libere,3,80
97500,Bucuresti,Ferdinand,3,69
64220,Bucuresti,Berceni,2,55
82846,Bucuresti,Berceni,3,78
49544,Bucuresti,Aparatorii Patriei,2,38
65000,Bucuresti,Militari,2,56
440000,Bucuresti,Soseaua Nordului,3,130
440000,Bucuresti,Herastrau,3,130
99000,Bucuresti,Ferdinand,2,51
129000,Bucuresti,Militari,3,64
141000,Bucuresti,Pipera,3,66
163296,Bucuresti,Baneasa,3,76
158865,Bucuresti,Domenii,2,43
66500,Bucuresti,Industriilor,1,31
94000,Bucuresti,Theodor Pallady,2,47
113000,Bucuresti,Pipera,2,52
38500,Bucuresti,Militari,1,32
449000,Bucuresti,Cotroceni,3,128
125000,Bucuresti,Dristor,3,71
66500,Bucuresti,Dristor,2,56
250000,Bucuresti,Decebal,2,65
98000,Bucuresti,Dristor,2,57
114900,Bucuresti,Tineretului,2,54
103000,Bucuresti,Tei,3,66
119000,Bucuresti,Obor,4,79
159000,Bucuresti,Titan,3,85
139000,Bucuresti,Crangasi,3,64
143000,Bucuresti,Viilor,3,95
112000,Bucuresti,Chisinau,2,62
82700,Bucuresti,P-ta Victoriei,2,37
110900,Bucuresti,Brancoveanu,3,91
155000,Bucuresti,Aviatiei,2,55
157099,Bucuresti,1 Mai,2,43
75000,Bucuresti,Drumul Taberei,3,63
105000,Bucuresti,Theodor Pallady,2,50
135000,Bucuresti,Mosilor,2,51
75900,Bucuresti,Brancoveanu,2,60
320000,Bucuresti,Mihai Bravu,4,221
41405,Bucuresti,Berceni,1,35
127000,Bucuresti,Dristor,3,64
67600,Bucuresti,Berceni,1,57
62000,Bucuresti,Titan,1,35
219000,Bucuresti,Unirii,3,83
51500,Bucuresti,Titan,1,30
149900,Bucuresti,Dristor,3,73
109000,Bucuresti,Lacul Tei,3,80
46900,Bucuresti,Magurele,1,30
88000,Bucuresti,Pantelimon,2,57
108000,Bucuresti,Pipera,2,53
